Year,Visitor Arrivals,Growth Rate(%),Term
1964,"352,832",,Jan. - Dec.
1965,"366,649",3.916028025,Jan. - Dec.
1966,"432,937",18.079416554,Jan. - Dec.
1967,"476,771",10.124798758,Jan. - Dec.
1968,"519,004",8.858131052,Jan. - Dec.
1969,"608,744",17.290810861,Jan. - Dec.
1970,"854,419",40.357687304,Jan. - Dec.
1971,"660,715",-22.670844164,Jan. - Dec.
1972,"723,744",9.539514011,Jan. - Dec.
1973,"784,691",8.421071539,Jan. - Dec.
1974,"764,246",-2.605484197,Jan. - Dec.
1975,"811,672",6.205593487,Jan. - Dec.
1976,"914,772",12.702175263,Jan. - Dec.
1977,"1,028,140",12.393033455,Jan. - Dec.
1978,"1,038,875",1.044118505,Jan. - Dec.
1979,"1,112,606",7.097196487,Jan. - Dec.
1980,"1,316,632",18.337668501,Jan. - Dec.
1981,"1,583,043",20.234279586,Jan. - Dec.
1982,"1,793,164",13.273233892,Jan. - Dec.
1983,"1,968,461",9.775848723,Jan. - Dec.
1984,"2,110,346",7.207915219,Jan. - Dec.
1985,"2,327,047",10.268505733,Jan. - Dec.
1986,"2,061,526",-11.410212170,Jan. - Dec.
1987,"2,154,864",4.527616921,Jan. - Dec.
1988,"2,355,412",9.306759034,Jan. - Dec.
1989,"2,835,064",20.363825946,Jan. - Dec.
1990,"3,235,860",14.137105900,Jan. - Dec.
1991,"3,532,651",9.171935745,Jan. - Dec.
1992,"3,581,540",1.383918196,Jan. - Dec.
1993,"3,410,447",-4.777079134,Jan. - Dec.
1994,"3,468,055",1.689162740,Jan. - Dec.
1995,"3,345,274",-3.540341777,Jan. - Dec.
1996,"3,837,113",14.702502695,Jan. - Dec.
1997,"4,218,208",9.931815925,Jan. - Dec.
1998,"4,106,057",-2.658735653,Jan. - Dec.
1999,"4,437,863",8.080891230,Jan. - Dec.
2000,"4,757,146",7.194521327,Jan. - Dec.
2001,"4,771,555",0.302891692,Jan. - Dec.
2002,"5,238,963",9.795716491,Jan. - Dec.
2003,"5,211,725",-0.519912051,Jan. - Dec.
2004,"6,137,905",17.771083470,Jan. - Dec.
2005,"6,727,926",9.612742459,Jan. - Dec.
2006,"7,334,077",9.009477809,Jan. - Dec.
2007,"8,346,969",13.810763099,Jan. - Dec.
2008,"8,350,835",0.046316214,Jan. - Dec.
2009,"6,789,658",-18.694861053,Jan. - Dec.
2010,"8,611,175",26.827816659,Jan. - Dec.
2011,"6,218,752",-27.782770644,Jan. - Dec.
2012,"8,358,105",34.401645218,Jan. - Dec.
2013,"10,363,904",23.998250800,Jan. - Dec.
2014,"13,413,467",29.424848011,Jan. - Dec.
2015,"19,737,409",47.146215069,Jan. - Dec.
2016,"24,039,700",21.797648313,Jan. - Dec.
2017,"28,691,073",19.348714834,Jan. - Dec.
2018,"31,191,856",8.716240762,Jan. - Dec.
2019,"31,882,049",2.212734632,Jan. - Dec.
2020,"4,115,828",-87.090453314,Jan. - Dec.
2021,"245,862",-94.026426760,Jan. - Dec.
2022,"3,832,110","1,458.642653196",Jan. - Dec.
2023,"25,066,350",554.113530144,Jan. - Dec.
2024,"36,870,148",47.090214571,Jan. - Dec.
2025,"39,066,046",,Jan. - Nov.
